,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,hour,weekend,weekday
145040,40.738,-74.001,40.825,-73.927,0,False,True
181932,40.744,-74.001,40.741,-73.99,14,False,True
375744,40.767,-73.986,40.744,-73.993,21,False,True
420274,40.773,-73.956,40.738,-73.99,20,False,True
80421,40.726,-74.001,40.696,-73.927,0,False,True
76343,40.723,-73.98,40.738,-74.008,9,False,True
37554,40.714,-74.01,40.768,-73.999,9,False,True
160732,40.741,-74.007,40.753,-73.978,1,False,True
471999,40.785,-73.977,40.789,-73.975,17,False,True
19365,40.702,-74.01,40.711,-74.017,9,False,True
53937,40.72,-74.004,40.741,-73.996,11,True,False
278726,40.755,-73.986,40.75,-73.984,20,False,True
292489,40.755,-73.968,40.762,-73.975,11,True,False
476637,40.785,-73.95,40.747,-73.945,8,False,True
162687,40.741,-74.004,40.771,-73.909,4,True,False
440518,40.776,-73.956,40.774,-73.978,23,False,True
81676,40.726,-74.001,40.753,-73.975,17,False,True
156075,40.738,-73.98,40.726,-74.011,7,False,True
213979,40.746,-73.983,40.744,-73.957,23,False,True
197868,40.744,-73.977,40.759,-73.984,13,False,True
356345,40.764,-73.983,40.735,-73.993,20,False,True
175628,40.741,-73.98,40.732,-73.999,7,False,True
293102,40.755,-73.965,40.711,-73.981,23,False,True
371658,40.764,-73.956,40.798,-73.957,17,False,True
421883,40.773,-73.953,40.735,-73.984,7,False,True
458906,40.779,-73.947,40.804,-73.939,11,False,True
196089,40.744,-73.98,40.759,-73.972,12,False,True
234413,40.749,-73.989,40.768,-73.957,22,False,True
226515,40.749,-73.995,40.759,-74.005,15,False,True
289711,40.755,-73.971,40.759,-73.969,22,True,False
429897,40.773,-73.873,40.774,-73.984,12,False,True
422494,40.773,-73.953,40.777,-73.96,13,False,True
442657,40.776,-73.953,40.771,-73.984,11,False,True
100339,40.729,-73.989,40.669,-73.984,17,False,True
171720,40.741,-73.986,40.735,-73.984,17,False,True
187714,40.744,-73.992,40.765,-73.963,21,False,True
40515,40.714,-73.959,40.681,-73.969,20,False,True
191214,40.744,-73.986,40.747,-73.99,2,False,True
127176,40.735,-74.001,40.759,-73.993,20,False,True
435325,40.776,-73.977,40.756,-74.002,11,False,True
112402,40.732,-74.001,40.75,-73.996,11,False,True
85234,40.726,-73.992,40.717,-73.96,23,False,True
413894,40.773,-73.983,40.798,-73.972,14,False,True
